Date;Calf;Behaviour;Interaction;IDs
21/01/2008 09:41;0;DP;N;50L 43L
21/01/2008 10:06;0;P;N;10L 22L
21/01/2008 09:16;0;P;N;1L 50L
21/01/2008 08:20;0;DP;N;37L 41L 48L
21/01/2008 11:21;0;P;S;15L 33L
07/02/2008 08:19;0;P;N;32L 50L
07/02/2008 08:28;1;P;N;19L 27L
07/02/2008 09:23;0;P;N;6L 26L
07/02/2008 09:43;0;D;N;37L 40L 16L
07/02/2008 10:46;0;D;N;12L 31L
07/02/2008 10:52;1;P;N;22L 9L 14L
07/02/2008 12:01;1;P;N;15L 10L 3L 33L
14/02/2008 12:59;0;P;S;30L 37L 8L
14/02/2008 13:24;1;P;N;14L 11L 12L
14/02/2008 13:54;1;P;N;18L 28L
14/02/2008 15:35;2;DP;N;19L 52L
14/02/2008 19:22;0;P;S;32L 9L
15/02/2008 07:29;0;D;N;50L 17L
15/02/2008 08:12;0;P;N;3L 43L
15/02/2008 08:22;0;P;N;1L 33L
15/02/2008 08:43;0;P;N;8L 48L
15/02/2008 09:36;0;P;S;43L 38L
15/02/2008 09:55;0;D;N;14L 2L 22L 11L
15/02/2008 10:34;0;D;N;1L 4L 16L
15/02/2008 10:45;0;P;N;29L 41L
15/02/2008 11:29;0;P;S;49L 28L
25/02/2008 08:58;0;P;N;16L 30L
25/02/2008 09:46;0;P;N;10L 33L 34L
25/02/2008 10:06;0;P;N;48L 40L 37L 26L
06/03/2008 10:53;0;DP;N;31L 6L 26L 39L 48L
06/03/2008 13:13;0;P;S;1L 16L
06/03/2008 13:22;0;P;S;3L 38L
06/03/2008 13:39;2;P;N;40L 19L 18L
06/03/2008 13:56;0;DP;N;7L 37L 20L
07/03/2008 08:04;0;D;N;20L 38L
07/03/2008 08:20;0;D;N;8L 31L 30L
07/03/2008 09:12;0;P;N;33L 9L
07/03/2008 09:26;0;P;N;14L 48L
07/03/2008 12:16;0;P;S;1L 24L
20/03/2008 15:39;0;P;N;9L 17L
21/03/2008 07:50;0;D;N;32L 17L 31L
21/03/2008 08:35;0;P;N;4L 20L 39L 3L
21/03/2008 09:16;0;P;N;26L 28L 38L
21/03/2008 10:47;0;P;N;37L 40L
21/03/2008 11:11;0;P;S;10L 33L 49L 2L
21/03/2008 12:25;0;P;N;8L 7L 1L
21/03/2008 12:37;0;P;S;16L 30L 24L
21/03/2008 12:56;0;P;N;9L 50L
04/04/2008 15:10;1;P;N;6L 42L
04/04/2008 15:50;0;P;N;24L 20L 30L
04/04/2008 16:02;0;DP;N;1L 16L
04/04/2008 16:06;0;P;N;3L 21L
04/04/2008 16:18;0;P;S;49L 33L
04/04/2008 17:19;1;P;N;31L 26L 18L
04/04/2008 17:37;0;P;N;19L 29L
05/04/2008 07:36;0;P;N;37L 38L
05/04/2008 08:00;0;P;N;3L 43L
05/04/2008 08:40;1;DP;N;17L 18L 39L
05/04/2008 09:39;0;DP;N;28L 31L
05/04/2008 10:13;0;DP;N;48L 50L
05/04/2008 10:52;0;P;S;15L 32L 41L
05/04/2008 11:32;1;DP;N;10L 11L
05/04/2008 11:52;1;DP;N;19L 29L
05/04/2008 12:09;0;P;S;30L 49L
05/04/2008 12:23;0;P;S;40L 16L 8L 7L
05/04/2008 12:34;1;P;N;31L 3L 41L 21L
11/04/2008 08:28;0;DP;N;43L 50L
11/04/2008 10:15;1;P;N;9L 42L
11/04/2008 11:21;0;P;S;39L 17L 9L
11/04/2008 11:31;0;P;S;8L 14L 40L
11/04/2008 11:52;0;P;S;1L 15L
11/04/2008 12:49;0;P;N;49L 20L 37L
25/04/2008 10:37;0;P;N;30L 9L 28L 49L 12L
25/04/2008 13:25;0;DP;N;17L 31L 21L 37L
25/04/2008 14:22;0;D;N;18L 20L
25/04/2008 16:47;0;P;S;8L 30L 12L
26/04/2008 09:39;0;DP;N;32L 37L 1L 8L
07/05/2008 09:07;0;P;N;3L 31L
07/05/2008 09:34;0;P;N;37L 22L
07/05/2008 09:44;0;P;N;28L 30L 15L
07/05/2008 12:58;0;P;S;8L 22L 14L
07/05/2008 15:12;1;P;S;42L 12L 19L
07/05/2008 16:14;3;DP;N;38L 4L
08/05/2008 07:33;0;P;N;39L 16L 49L 28L
08/05/2008 07:59;2;D;N;1L 37L 11L 2L
08/05/2008 08:32;0;P;N;33L 10L 43L 6L
08/05/2008 09:01;0;DP;N;48L 3L
08/05/2008 09:39;3;DP;N;17L 19L 18L 42L
08/05/2008 11:23;0;P;S;2L 1L
23/05/2008 07:08;0;D;N;41L 20L
23/05/2008 07:28;1;DP;N;31L 3L 52L
23/05/2008 10:12;0;P;S;16L 24L
23/05/2008 11:37;1;P;N;21L 18L
23/05/2008 12:27;1;P;S;1L 30L
05/06/2008 15:15;0;P;S;14L 49L
05/06/2008 15:46;0;P;N;24L 6L 16L 37L
06/06/2008 07:15;0;DP;N;6L 32L
06/06/2008 07:40;0;P;N;33L 50L
06/06/2008 09:46;0;P;N;8L 41L
06/06/2008 10:10;0;P;S;3L
06/06/2008 11:26;0;P;S;37L 10L 24L
19/06/2008 08:40;1;P;N;48L 39L
19/06/2008 09:59;0;P;N;43L 38L
19/06/2008 11:32;0;P;N;1L 15L
19/06/2008 11:53;1;P;N;49L 30L 2L
19/06/2008 12:36;0;P;N;21L 40L
19/06/2008 13:07;1;D;N;33L 4L 9L
24/06/2008 13:04;0;P;N;41L 10L
24/06/2008 13:13;0;P;S;49L 15L 1L
24/06/2008 13:39;0;P;N;3L 37L 30L 33L
24/06/2008 14:09;0;D;N;17L 38L
14/07/2008 12:29;0;P;S;10L 14L
14/07/2008 13:39;0;P;N;9L 33L 49L
14/07/2008 14:09;0;P;N;1L 48L
14/07/2008 15:03;0;DP;N;43L 38L
14/07/2008 15:23;1;P;N;11L 2L
14/07/2008 15:41;0;D;N;26L 37L
14/07/2008 16:12;0;D;N;22L 40L
14/07/2008 16:21;0;D;N;17L 39L
14/07/2008 16:57;0;P;N;20L 4L
15/07/2008 09:08;0;P;N;21L 26L 20L
15/07/2008 09:54;2;D;N;43L 18L 42L
15/07/2008 12:23;0;D;N;1L 15L
15/07/2008 12:34;0;DP;N;48L 9L
15/07/2008 13:34;0;P;S;10L 33L 12L
15/07/2008 13:59;0;P;N;52L 27L 16L
15/07/2008 14:26;0;P;N;28L 7L
18/07/2008 13:58;0;P;N;8L 33L
18/07/2008 14:23;1;P;S;15L 11L
18/07/2008 14:51;0;D;N;3L 41L
18/07/2008 15:30;0;P;N;49L 2L 14L
18/07/2008 15:52;1;P;S;10L 1L
18/07/2008 16:11;0;P;N;4L 31L 52L
18/07/2008 17:14;0;P;S;41L 24L 12L
18/07/2008 17:22;2;P;N;6L 3L 48L 8L 33L 9L
19/07/2008 09:49;1;D;N;41L 42L 34L 6L
19/07/2008 10:45;0;P;N;24L 8L
19/07/2008 10:59;1;P;N;2L 14L 11L
19/07/2008 11:30;0;P;S;1L 30L
19/07/2008 12:05;0;P;N;31L 4L 29L
19/07/2008 12:38;0;P;N;9L 3L
19/07/2008 12:41;0;D;N;10L 15L
29/07/2008 07:07;0;DP;N;22L 30L 16L
29/07/2008 10:15;0;DP;N;43L 20L 48L
29/07/2008 11:01;0;DP;N;4L 38L
29/07/2008 11:18;0;D;N;6L 37L
29/07/2008 13:55;0;P;S;12L 49L 33L 28L
15/08/2008 14:19;1;P;N;17L 9L
15/08/2008 15:23;0;P;N;10L 26L
15/08/2008 15:32;0;P;N;14L 16L 1L
15/08/2008 15:46;0;P;S;49L 24L 11L
16/08/2008 09:36;0;P;S;48L 50L 4L
16/08/2008 10:56;0;P;N;30L 1L
16/08/2008 13:15;0;D;S;29L 10L
19/08/2008 10:31;1;P;N;12L 1L
19/08/2008 11:00;0;P;N;28L 3L 41L
27/08/2008 08:04;0;P;N;26L 20L
27/08/2008 09:28;1;P;N;17L 22L
27/08/2008 09:34;1;P;N;11L 15L
27/08/2008 09:49;0;D;N;8L 40L
27/08/2008 11:18;0;P;S;28L 37L
27/08/2008 11:50;0;P;N;16L 30L
27/08/2008 12:39;1;P;N;12L 14L
03/09/2008 14:23;0;D;N;40L 22L 10L 39L
03/09/2008 14:46;0;P;N;1L 14L 31L
